age,job,education,day_of_week,duration,campaign,poutcome,cons_conf_idx,euribor3m,nr_employed
29,1,1,0,213,1,1,-36.4,4.859,5191.0
50,2,2,2,119,1,1,-41.8,4.958,5228.1
81,5,6,3,327,2,2,-26.9,0.728,5017.5
29,9,6,4,225,1,1,-36.1,4.967,5228.1
29,7,5,2,1051,2,1,-46.2,1.327,5099.1
48,1,1,0,290,5,1,-36.4,4.864,5191.0
34,2,6,0,104,3,1,-47.1,1.405,5099.1
55,3,3,0,14,8,0,-46.2,1.25,5099.1
39,4,6,0,53,1,1,-46.2,1.313,5099.1
50,10,3,3,353,3,1,-40.0,0.688,5008.7
45,10,1,4,211,2,1,-42.7,4.957,5228.1
45,9,5,4,170,3,1,-36.1,4.964,5228.1
31,1,2,1,0,2,1,-46.2,1.299,5099.1
36,0,3,1,54,5,1,-31.4,0.821,5076.2
37,9,5,4,329,1,1,-46.2,1.281,5099.1
33,9,5,0,613,2,1,-36.4,4.864,5191.0
45,0,3,0,33,2,1,-47.1,1.405,5099.1
51,3,0,2,97,1,0,-33.6,1.072,5076.2
67,5,5,4,140,1,1,-47.1,1.415,5099.1
53,1,0,2,198,3,1,-36.4,4.86,5191.0
56,2,6,2,24,1,1,-47.1,1.365,5099.1
53,4,6,1,414,2,0,-47.1,1.405,5099.1
23,8,3,2,262,3,1,-49.5,1.025,4963.6
40,0,2,4,186,2,1,-42.0,4.12,5195.8
27,1,0,2,528,1,1,-47.1,1.41,5099.1
33,7,3,0,548,2,1,-42.7,4.959,5228.1
28,1,2,3,637,3,1,-46.2,1.291,5099.1
34,1,2,0,241,1,0,-46.2,1.25,5099.1
30,1,2,1,74,1,1,-46.2,1.244,5099.1
37,7,3,1,345,2,1,-47.1,1.405,5099.1
28,8,3,4,188,1,1,-31.4,0.879,5076.2
41,7,3,1,417,2,1,-46.2,1.354,5099.1
28,1,2,2,92,1,1,-36.4,4.86,5191.0
56,5,5,4,135,1,1,-42.7,4.963,5228.1
46,0,6,2,89,1,1,-42.7,4.963,5228.1
38,9,6,3,446,12,1,-36.4,4.856,5191.0
21,1,0,0,153,1,1,-40.8,1.268,5076.2
33,3,0,3,129,8,1,-36.4,4.856,5191.0
24,8,7,2,558,2,1,-46.2,1.27,5099.1
31,9,5,0,91,2,1,-36.1,4.963,5228.1
48,9,6,0,66,4,1,-36.1,4.966,5228.1
23,0,5,4,580,2,1,-42.7,4.963,5228.1
35,0,6,0,299,4,1,-36.1,4.966,5228.1
27,0,5,0,141,1,1,-41.8,4.947,5228.1
31,2,6,1,151,2,1,-42.7,4.962,5228.1
35,1,2,2,270,2,1,-46.2,1.327,5099.1
30,9,5,0,169,2,1,-26.9,0.739,5017.5
31,0,6,2,370,3,1,-47.1,1.365,5099.1
37,7,3,1,264,5,1,-42.7,4.962,5228.1
34,9,7,2,320,2,2,-31.4,0.851,5076.2
37,0,6,4,729,1,0,-37.5,0.886,4963.6
36,1,0,2,227,2,1,-46.2,1.327,5099.1
33,0,3,3,74,2,1,-40.8,1.262,5076.2
41,0,1,2,1013,3,1,-36.4,4.86,5191.0
37,9,5,0,74,5,1,-42.7,4.957,5228.1
39,1,0,3,395,2,1,-36.4,4.857,5191.0
52,5,2,2,59,4,1,-42.7,4.968,5228.1
35,0,6,3,343,1,1,-36.4,4.856,5191.0
37,0,6,0,315,1,1,-50.8,1.04,4963.6
46,9,5,3,117,1,1,-41.8,4.864,5228.1
28,1,2,3,718,1,0,-46.2,1.344,5099.1
35,7,3,3,146,8,1,-36.4,4.857,5191.0
35,6,5,0,268,2,1,-36.4,4.855,5191.0
35,1,2,0,311,3,1,-41.8,4.967,5228.1
53,1,0,4,140,2,1,-42.0,4.12,5195.8
34,9,6,2,336,3,1,-36.1,4.968,5228.1
25,6,6,1,173,2,1,-47.1,1.405,5099.1
62,9,7,1,105,2,1,-34.8,0.646,5008.7
39,0,5,3,185,2,1,-36.4,4.856,5191.0
35,7,3,3,159,2,1,-36.4,4.856,5191.0
28,6,6,4,57,1,1,-46.2,1.334,5099.1
45,4,6,2,175,1,1,-47.1,1.365,5099.1
30,1,2,0,128,1,1,-36.4,4.855,5191.0
38,0,6,4,126,3,1,-36.4,4.859,5191.0
31,0,6,1,239,3,1,-38.3,0.896,4991.6
35,1,7,1,267,1,1,-36.4,4.857,5191.0
37,9,5,2,221,3,1,-41.8,4.866,5228.1
50,1,7,2,80,2,1,-42.7,4.958,5228.1
56,4,6,2,487,1,1,-42.0,4.076,5195.8
31,7,3,1,267,1,1,-47.1,1.405,5099.1
30,8,3,4,201,2,1,-37.5,0.886,4963.6
36,1,3,2,8,24,1,-42.7,4.968,5228.1
44,0,6,2,259,1,2,-29.8,0.809,5017.5
37,0,1,2,1602,6,1,-42.7,4.962,5228.1
35,9,5,1,154,3,1,-42.7,4.962,5228.1
33,0,3,3,498,5,1,-42.7,4.961,5228.1
32,0,6,2,165,4,1,-42.0,4.076,5195.8
45,9,5,4,136,6,1,-36.1,4.964,5228.1
53,6,6,4,382,10,1,-36.4,4.859,5191.0
42,1,2,3,163,2,1,-36.4,4.856,5191.0
25,7,0,0,601,1,1,-36.4,4.859,5191.0
45,2,3,4,126,2,1,-41.8,4.959,5228.1
28,0,6,4,156,3,1,-41.8,4.962,5228.1
53,6,6,1,84,2,1,-42.7,4.962,5228.1
49,7,3,4,346,2,1,-42.7,4.957,5228.1
24,8,2,3,345,1,1,-34.6,0.646,5008.7
29,7,3,2,10,10,1,-46.2,1.266,5099.1
39,4,2,3,134,3,1,-36.4,4.856,5191.0
25,0,6,3,59,1,1,-36.4,4.856,5191.0
47,9,5,1,197,4,1,-36.4,4.858,5191.0
54,10,2,4,108,1,1,-46.2,1.27,5099.1
44,0,3,1,164,1,1,-41.8,4.865,5228.1
27,0,3,4,175,1,1,-46.2,1.334,5099.1
43,1,2,0,207,1,1,-41.8,4.967,5228.1
59,9,6,2,213,10,1,-42.7,4.962,5228.1
40,0,3,4,222,2,1,-36.4,4.859,5191.0
39,9,3,4,67,5,1,-36.1,4.964,5228.1
40,1,5,0,554,2,1,-41.8,4.967,5228.1
27,0,3,2,240,1,1,-46.2,1.327,5099.1
37,3,3,0,106,1,1,-36.4,4.855,5191.0
48,1,0,3,271,1,1,-42.7,4.961,5228.1
26,7,3,0,34,3,1,-42.7,4.957,5228.1
45,1,2,0,222,9,1,-36.4,4.864,5191.0
28,0,6,1,442,1,0,-46.2,1.244,5099.1
62,9,7,1,104,2,2,-34.8,0.646,5008.7
41,7,3,3,153,3,1,-41.8,4.961,5228.1
34,0,2,3,175,1,1,-36.4,4.857,5191.0
34,9,5,0,201,1,1,-36.1,4.966,5228.1
37,1,1,2,253,2,0,-46.2,1.327,5099.1
41,9,3,4,159,1,1,-36.1,4.967,5228.1
42,9,5,2,196,2,1,-46.2,1.266,5099.1
46,1,1,1,440,1,1,-36.4,4.857,5191.0
55,9,5,1,113,2,1,-36.4,4.857,5191.0
40,0,5,2,106,2,1,-42.7,4.968,5228.1
32,0,6,4,226,2,1,-42.7,4.962,5228.1
47,3,2,2,155,1,0,-33.0,0.712,5023.5
28,0,3,1,197,4,1,-36.4,4.858,5191.0
37,4,6,1,493,1,1,-46.2,1.244,5099.1
24,7,3,1,700,1,1,-41.8,4.961,5228.1
70,5,0,2,331,1,2,-40.0,0.683,5008.7
30,0,6,0,316,1,1,-36.1,4.966,5228.1
36,1,2,1,131,4,1,-36.4,4.857,5191.0
56,7,3,3,43,1,1,-36.1,4.965,5228.1
44,2,2,0,241,4,1,-41.8,4.959,5228.1
32,1,3,4,44,7,1,-36.4,4.857,5191.0
47,9,2,3,1569,1,1,-42.7,4.961,5228.1
28,0,3,4,251,2,1,-46.2,1.334,5099.1
48,7,3,0,267,2,0,-47.1,1.405,5099.1
28,2,3,1,419,2,1,-41.8,4.961,5228.1
33,4,5,2,8,6,1,-42.0,4.076,5195.8
61,5,2,0,176,2,1,-31.4,0.869,5076.2
34,7,3,3,596,1,1,-36.4,4.857,5191.0
40,2,6,1,181,2,1,-46.2,1.244,5099.1
33,1,2,0,261,1,1,-41.8,4.967,5228.1
41,0,3,4,199,1,1,-41.8,4.962,5228.1
47,9,5,4,301,3,1,-36.4,4.859,5191.0
28,7,3,3,554,1,1,-42.7,4.962,5228.1
43,1,3,3,658,2,1,-42.7,4.962,5228.1
24,6,6,2,64,3,1,-31.4,0.829,5076.2
40,1,0,3,218,1,1,-46.2,1.291,5099.1
